date_start,title,lst_keywords,len_keywords,link,extracted
18.08.2020,Data Engineer Consultant,"pandas,hadoop,sql,spark,etl,java,python",39,https://www.jobs.bg/5402429,true
18.08.2020,Cloud Network Engineer,"python,perl,java,shell,c++,go",29,https://www.jobs.bg/5402420,true
17.08.2020,Senior System Software Tester,"bash,shell,python,java",22,https://www.jobs.bg/5401750,true
17.08.2020,DevOps Engineer,"bash,python,java",16,https://www.jobs.bg/5401728,true
17.08.2020,DevOps & Cloud Engineer,"azure,aws,bash,python,go",24,https://www.jobs.bg/5401285,true
14.08.2020,Compliance Reporting Specialist,"sql,r,python",12,https://www.jobs.bg/5399009,true
14.08.2020,Ментор / Преподавател,"python,java",11,https://www.jobs.bg/5398775,true
13.08.2020,Junior C Software Engineer,"c,python",8,https://www.jobs.bg/5398437,true
12.08.2020,Back-End Java Developer,"sql,python,java",15,https://www.jobs.bg/5396676,true
11.08.2020,Java Cloud Developer,"azure,rdbms,cassandra,sql,java,aws,python",41,https://www.jobs.bg/5395415,true
11.08.2020,Intern/Junior Front End Developer,"php,python,java",15,https://www.jobs.bg/5394854,true
11.08.2020,CASINO GAMES TECH LEAD,"aws,c,python,java",17,https://www.jobs.bg/5394821,true
11.08.2020,DEVOPS ENGINEER (PAAS),"aws,bash,ruby,python",20,https://www.jobs.bg/5394818,true
11.08.2020,Junior Back End Developer,"php,sql,python,java",19,https://www.jobs.bg/5394707,true
11.08.2020,Junior Front End Developer,"python,java",11,https://www.jobs.bg/5394702,true
10.08.2020,Full-stack Developer with React and Node.JS,"ruby,python,java",16,https://www.jobs.bg/5394017,true
10.08.2020,Full Stack Developer – Tech Lead,"c,django,sql,java,python",24,https://www.jobs.bg/5393653,true
10.08.2020,Senior Software Developer,"sql,python,ruby",15,https://www.jobs.bg/5393595,true
07.08.2020,Talent Acquisition Expert,"php,c,java,excel,python",23,https://www.jobs.bg/5392290,true
07.08.2020,NOC Engineer,"php,sql,basic,java,python",25,https://www.jobs.bg/5392232,true
07.08.2020,Linux System Administrator / DevOps Engineer,"bash,python",11,https://www.jobs.bg/5391894,true
07.08.2020,Application Security Engineer,"python,php,c,perl,java,c++",26,https://www.jobs.bg/5391667,true
05.08.2020,DevOps Engineer,"bash,shell,python,basic",23,https://www.jobs.bg/5389361,true
